DATE,TIMESTAMP,LOCATION,ENERGY_SOURCE,MEASURE,UNIT_OF_MEASURE,INTERVAL,VALUE
21.09.2021,21.09.2021 19:11,Atlantis waterpark,HVAC KN13.1,load extract ventilator,%,S,100
21.09.2021,21.09.2021 19:41,Atlantis waterpark,HVAC KN13.1,Supply temp,C,S,1638
21.09.2021,21.09.2021 19:41,Atlantis waterpark,HVAC KN13.1,Extract temp,C,S,2483
21.09.2021,21.09.2021 19:41,Atlantis waterpark,HVAC KN13.1,load supply ventilator,%,S,100
21.09.2021,21.09.2021 19:41,Atlantis waterpark,HVAC KN13.1,load extract ventilator,%,S,100
21.09.2021,21.09.2021 20:11,Atlantis waterpark,HVAC KN13.1,Supply temp,C,S,1547
21.09.2021,21.09.2021 20:11,Atlantis waterpark,HVAC KN13.1,Extract temp,C,S,2461
21.09.2021,21.09.2021 20:11,Atlantis waterpark,HVAC KN13.1,load supply ventilator,%,S,100
21.09.2021,21.09.2021 20:11,Atlantis waterpark,HVAC KN13.1,load extract ventilator,%,S,100
21.09.2021,21.09.2021 20:41,Atlantis waterpark,HVAC KN13.1,Supply temp,C,S,1501
21.09.2021,21.09.2021 20:41,Atlantis waterpark,HVAC KN13.1,Extract temp,C,S,2461
21.09.2021,21.09.2021 20:41,Atlantis waterpark,HVAC KN13.1,load supply ventilator,%,S,100
21.09.2021,21.09.2021 20:41,Atlantis waterpark,HVAC KN13.1,load extract ventilator,%,S,100
21.09.2021,21.09.2021 21:11,Atlantis waterpark,HVAC KN13.1,Supply temp,C,S,1524
21.09.2021,21.09.2021 21:11,Atlantis waterpark,HVAC KN13.1,Extract temp,C,S,2461
21.09.2021,21.09.2021 21:11,Atlantis waterpark,HVAC KN13.1,load supply ventilator,%,S,100
21.09.2021,21.09.2021 21:41,Atlantis waterpark,HVAC KN13.1,Supply temp,C,S,1616
21.09.2021,21.09.2021 21:41,Atlantis waterpark,HVAC KN13.1,Extract temp,C,S,2483
21.09.2021,21.09.2021 21:41,Atlantis waterpark,HVAC KN13.1,load supply ventilator,%,S,100
21.09.2021,21.09.2021 22:11,Atlantis waterpark,HVAC KN13.1,Supply temp,C,S,1638
21.09.2021,21.09.2021 22:11,Atlantis waterpark,HVAC KN13.1,Extract temp,C,S,2483
21.09.2021,21.09.2021 22:11,Atlantis waterpark,HVAC KN13.1,load supply ventilator,%,S,100
21.09.2021,21.09.2021 22:41,Atlantis waterpark,HVAC KN13.1,Supply temp,C,S,1661
21.09.2021,21.09.2021 22:41,Atlantis waterpark,HVAC KN13.1,Extract temp,C,S,2461
21.09.2021,21.09.2021 22:41,Atlantis waterpark,HVAC KN13.1,load supply ventilator,%,S,100
21.09.2021,21.09.2021 23:11,Atlantis waterpark,HVAC KN13.1,Supply temp,C,S,1641
21.09.2021,21.09.2021 23:11,Atlantis waterpark,HVAC KN13.1,Extract temp,C,S,2435
21.09.2021,21.09.2021 23:11,Atlantis waterpark,HVAC KN13.1,load supply ventilator,%,S,100
21.09.2021,21.09.2021 23:41,Atlantis waterpark,HVAC KN13.1,Supply temp,C,S,1621
21.09.2021,21.09.2021 23:41,Atlantis waterpark,HVAC KN13.1,Extract temp,C,S,2435
21.09.2021,21.09.2021 23:41,Atlantis waterpark,HVAC KN13.1,load supply ventilator,%,S,100
22.09.2021,22.09.2021 00:11,Atlantis waterpark,HVAC KN13.1,Supply temp,C,S,1601
22.09.2021,22.09.2021 00:11,Atlantis waterpark,HVAC KN13.1,Extract temp,C,S,2409
22.09.2021,22.09.2021 00:11,Atlantis waterpark,HVAC KN13.1,load supply ventilator,%,S,100
22.09.2021,22.09.2021 00:41,Atlantis waterpark,HVAC KN13.1,Supply temp,C,S,1581
22.09.2021,22.09.2021 00:41,Atlantis waterpark,HVAC KN13.1,Extract temp,C,S,2409
22.09.2021,22.09.2021 00:41,Atlantis waterpark,HVAC KN13.1,load supply ventilator,%,S,100
22.09.2021,22.09.2021 01:11,Atlantis waterpark,HVAC KN13.1,Supply temp,C,S,1581
22.09.2021,22.09.2021 01:11,Atlantis waterpark,HVAC KN13.1,Extract temp,C,S,2429
22.09.2021,22.09.2021 01:11,Atlantis waterpark,HVAC KN13.1,load supply ventilator,%,S,100
22.09.2021,22.09.2021 01:41,Atlantis waterpark,HVAC KN13.1,Supply temp,C,S,1581
22.09.2021,22.09.2021 01:41,Atlantis waterpark,HVAC KN13.1,Extract temp,C,S,2406
22.09.2021,22.09.2021 01:41,Atlantis waterpark,HVAC KN13.1,load supply ventilator,%,S,100
22.09.2021,22.09.2021 02:11,Atlantis waterpark,HVAC KN13.1,Supply temp,C,S,1581
22.09.2021,22.09.2021 02:11,Atlantis waterpark,HVAC KN13.1,Extract temp,C,S,2409
22.09.2021,22.09.2021 02:11,Atlantis waterpark,HVAC KN13.1,load supply ventilator,%,S,100
22.09.2021,22.09.2021 02:41,Atlantis waterpark,HVAC KN13.1,Supply temp,C,S,1561
22.09.2021,22.09.2021 02:41,Atlantis waterpark,HVAC KN13.1,Extract temp,C,S,2389
22.09.2021,22.09.2021 02:41,Atlantis waterpark,HVAC KN13.1,load supply ventilator,%,S,100
22.09.2021,22.09.2021 03:11,Atlantis waterpark,HVAC KN13.1,Supply temp,C,S,1541
22.09.2021,22.09.2021 03:11,Atlantis waterpark,HVAC KN13.1,Extract temp,C,S,2386
22.09.2021,22.09.2021 03:11,Atlantis waterpark,HVAC KN13.1,load supply ventilator,%,S,100
22.09.2021,22.09.2021 03:41,Atlantis waterpark,HVAC KN13.1,Supply temp,C,S,1521
22.09.2021,22.09.2021 03:41,Atlantis waterpark,HVAC KN13.1,Extract temp,C,S,2386
22.09.2021,22.09.2021 03:41,Atlantis waterpark,HVAC KN13.1,load supply ventilator,%,S,100
22.09.2021,22.09.2021 04:11,Atlantis waterpark,HVAC KN13.1,Supply temp,C,S,1493
22.09.2021,22.09.2021 04:11,Atlantis waterpark,HVAC KN13.1,Extract temp,C,S,2369
22.09.2021,22.09.2021 04:11,Atlantis waterpark,HVAC KN13.1,load supply ventilator,%,S,100
