DATE,TIMESTAMP,LOCATION,ENERGY_SOURCE,MEASURE,UNIT_OF_MEASURE,INTERVAL,"VALUE,"
2021-05-08,2021-05-08 21:51:00,Tower BTC,district heating,billing meter total consumption,kWh,H,200
2021-05-08,2021-05-08 21:51:00,Tower BTC,district heating,billing meter total consumption,kWh,H,200
2021-05-08,2021-05-08 16:43:00,Tower BTC,district heating,billing meter total consumption,kWh,H,100
2021-05-08,2021-05-08 22:04:00,Tower BTC,district heating,billing meter total consumption,kWh,H,100
2021-05-08,2021-05-08 15:25:00,Tower BTC,district heating,billing meter total consumption,kWh,H,200
2021-05-08,2021-05-08 15:00:00,Tower BTC,district heating,billing meter total consumption,kWh,H,100
2021-05-08,2021-05-08 18:37:00,Tower BTC,district heating,billing meter total consumption,kWh,H,100
2021-05-08,2021-05-08 17:57:00,Tower BTC,district heating,billing meter total consumption,kWh,H,100
2021-05-08,2021-05-08 15:24:00,Tower BTC,district heating,billing meter total consumption,kWh,H,100
2021-05-08,2021-05-08 20:50:00,Tower BTC,district heating,billing meter total consumption,kWh,H,100
